Site,Gorge,Site Nickname,Discoverer,Date of Discovery,Publication,ISBN 10,Site Pager,Number of Figures,Figure Category,Distance to next Site,Next Site,Cardinal Points,Painting Location,Water in Sight,Water Availability,Open Field in Sight,Open Field,Living Place,Spatiality,Visibility,Context,View from Site,Evidence of Human Occupation,Degradation of Paintings,Quantity of Artefacts,Lithics,Pottery,O.E.S.,Bone,Charcoal,Grinding Implements,Stone Structures,Miscellenous Artefact,Remarks
B 3,Sesaub / Basswaldrinne,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,B 3,14,5,135.3739,B 2,E; W,5; 6; 8,,>300m,True,adjacent,unfavourable,9,<15m,marginal,poor,none,water run-off; vegetation impact,few,NA,NA,NA,NA,NA,NA,NA,NA,
B 4,Sesaub / Basswaldrinne,,Matheus,08.05.1984,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,B 4,85,3,176.1822,B 9,SE,1; 5; 7; 12,True,adjacent,True,adjacent,unfavourable; � vertical rock,8,<15m,central,magnificent,European; Pager's Camp,disintegration of rock; water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,
B 5,Sesaub / Basswaldrinne,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,B 5,111,3,61.3302,B 6,E; S,1; 2; 3; 4; 5; 12,,<300m,True,adjacent,unfavourable,0,>15m,marginal,rather nice,none,water run-off; vegetation impact,many,NA,NA,NA,NA,NA,NA,NA,NA,
B 6,Sesaub / Basswaldrinne,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,B 6,26,4,61.3302,B 5,S,1; 5; 6; 12,,<300m,True,adjacent,unfavourable,4,<1m; <15m,central,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
B 7,Sesaub / Basswaldrinne,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,B 7,28,4,62.8521,B 6,S,1; 5; 6; 8; 12,,<300m,,within shouting distance,unfavourable,5,<3m,marginal,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
B 8,Sesaub / Basswaldrinne,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,B 8,40,4,392.1351,O 20,NE,5; 6; 8; 9; 10; 11,,>300m,True,within shouting distance,spacious,5,<3m,isolated,magnificent,none,water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,
B 9,Sesaub / Basswaldrinne,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,B 9,65,3,85178,B 10,NE,1; 5; 6; 7; 8; 12,True,<300m,,<300m,spacious,15,<15m,marginal,magnificent,none,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
B 10,Sesaub / Basswaldrinne,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,B 10,138,3,85178,B 9,NE,1; 3; 4; 5; 6; 7; 8; 12,True,<300m,,within shouting distance,unfavourable,8,<3m,marginal,magnificent,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
C 1,Circus,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 1,8,5,356.1089,I 71,W,1,,>300m,,>300m,� vertical rock,4,>15m,isolated,magnificent,none,none,none,none,none,none,none,none,none,none,none,
C 2,Circus,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 2,81,3,143.5307,C 3,NE; NW,1; 4; 5,True,within shouting distance,True,adjacent,unfavourable; � vertical rock,11,<15m,marginal,NA,none,water run-off,many,many,none,many,none,many,none,none,none,
C 3,Circus,,Shipahu,02.10.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 3,346,2,50.1532,C 5,S,3; 4; 5; 8; 12,True,within shouting distance,True,within shouting distance,unfavourable,20,>15m,central,rather nice,Pager's Camp,none,few,few,few,none,none,none,none,none,none,
C 4,Circus,,Paulus,02.10.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 4,26,4,220.2375,C 3,N,3; 5; 7; 9; 10,,<300m,True,within shouting distance,spacious,23,<3m,marginal,rather nice,none,water run-off,medium quantity,medium quantity,none,medium quantity,none,medium quantity,none,none,none,
C 5,Circus,,Shipahu,07.10.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 5,8,5,50.1532,C 3,S,4; 5,,within shouting distance,True,adjacent,unfavourable,6,<3m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,
C 6,Circus,,Shipahu,07.10.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 6,13,5,94.0002,C 5,S,1,,<300m,True,within shouting distance,� vertical rock,3,<15m,marginal,poor,none,water run-off,few,few,none,none,none,none,none,none,none,
C 7,Circus,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 7,179,3,255.8582,C 8,NE; S; SW,5; 6; 8; 9; 11,,<300m,True,adjacent,spacious,9,<15m,marginal,rather nice,Fireplace and Pager's Camp,water run-off; vegetation impact,many,many,many,many,none,many,none,none,Rillenstein; graues; kreidiges Material,
C 8,Circus,,Shipahu,02.10.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 8,55,4,75.7481,C 9,SW,3; 4; 5,True,adjacent,True,adjacent,unfavourable,5,>15m,marginal,rather nice,none,water run-off; vegetation impact,few,few,few,none,none,none,none,none,none,
C 9,Circus,,Shipahu,20.10.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 9,20,4,75.7481,C 8,N,4,True,adjacent,True,within shouting distance,unfavourable,5,<15m,marginal,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,
C 10,Circus,,Lempp/ Roth,May 54,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 10,239,2,79619,C 11,N; E,1; 5; 8; 10; 12,,<300m,True,adjacent,unfavourable,3,<15m,central,rather nice,none,disintegration of rock; water run-off; vegetation impact,many,many,many,many,none,none,none,none,none,
C 11,Circus,,Roth,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 11,69,3,56.7227,C 12,N,1; 5; 10,,<300m,True,within shouting distance,spacious,6,<15m,central,rather nice; magnificent,none,water run-off; vegetation impact,few,few,few,none,none,none,none,none,none,
C 12,Circus,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 12,141,3,45243,C 13,N,5; 6; 7; 8; 9; 10,,NA,,NA,spacious,2,<15m,marginal,rather nice,none,water run-off; vegetation impact,many,many,many,none,none,none,none,none,none,
C 13,Circus,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 13,9,5,45243,C 12,NE,5,,>300m,,>300m,unfavourable,3,<3m,marginal,poor,none,disintegration of rock; water run-off; vegetation impact,few,few,few,none,none,none,none,none,none,
C 14,Circus,,Shipahu,12.11.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 14,6,5,98.5815,C 16,E,1,,>300m,True,adjacent,� vertical rock,3,<15m,marginal,magnificent,none,water run-off,few,few,few,none,none,none,none,none,none,
C 15,Circus,,Shipahu,11.11.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 15,53,4,143.8779,C 14,E; W,1; 12,True,within shouting distance,True,within shouting distance,� vertical rock,5,<15m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,
C 16,Circus,,Shipahu,11.11.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 16,17,5,65.7269,C 17,SW,5,,within shouting distance,True,adjacent,unfavourable,11,<15m,marginal,magnificent,Pager's Camp,none,few,few,few,few,none,none,none,none,none,
C 17,Circus,,Shipahu,11.11.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 17,2,6,65.7269,C 16,S,4; 5,,<300m,,>300m,unfavourable,11,<1m,marginal,magnificent,Pager's Camp,water run-off,medium quantity,medium quantity,medium quantity,medium quantity,none,medium quantity,none,none,none,
C 18,Circus,,Shipahu,11.11.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 18,1,6,273.6855,C 19,N; S,5,,<300m,,>300m,spacious,18,<1m,marginal,rather nice,none,water run-off,few,few,few,none,none,few,none,none,none,
C 19,Circus,,Paulus,12.11.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 19,11,5,243.8229,C 11,SE,10,,>300m,,>300m,spacious,3,<3m,isolated,magnificent,none,water run-off,few,few,none,few,none,few,none,none,none,
C 20,Circus,,Walter,1974,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 20,206,2,87.7272,C 21,S; SW,5,True,<300m,,adjacent,unfavourable,10,<15m,marginal,magnificent,none,water run-off; wind erosion,medium quantity,medium quantity,medium quantity,medium quantity,none,none,none,none,none,
C 21,Circus,,Walter,1974,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 21,286,2,87.7272,C 20,S,1; 5; 12,True,<300m,True,adjacent,unfavourable,20,<15m,marginal,magnificent,none,water run-off,many,many,many,none,none,none,none,none,none,
C 22,Circus,,Shipahu,10.11.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 22,72,3,206.0002,C 21,S,1; 3; 4; 5; 12,True,within shouting distance,True,adjacent,unfavourable,2,>15m,central,magnificent,none,water run-off,few,few,few,none,none,none,none,none,none,
C 23,Circus,,Walter,1974,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 23,50,4,250.0475,C 22,S; W,1; 5; 12,,<300m,True,adjacent,spacious,32,<15m,marginal,magnificent,none,water run-off,none,none,none,none,none,none,none,none,none,
C 24,Circus,,Paulus,17.11.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 24,8,5,240264,C 25,NE,5,True,adjacent,,within shouting distance,� vertical rock,0,<1m,isolated,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,
C 25,Circus,,Paulus,10.11.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 25,15,5,206.3977,C 28,N,5,,<300m,True,adjacent,unfavourable,12,<3m,marginal,rather nice,none,water run-off,medium quantity,medium quantity,medium quantity,none,none,none,none,none,none,
C 26,Circus,,Walter,1974,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 26,16,5,174.5538,C 28,N,1,,<300m,,<300m,� vertical rock,8,>15m,marginal,rather nice,Pager's Camp,water run-off,none,none,none,none,none,none,none,none,none,
C 27,Circus,,Paulus,16.11.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 27,16,5,152.8958,C 28,E,1,,within shouting distance,,<300m,� vertical rock,2,<3m,isolated,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,
C 28,Circus,,Paulus,10.11.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 28,17,5,152.8958,C 27,S,5; 10,,<300m,,<300m,spacious,9,<3m,marginal,magnificent,none,none,few,few,none,few,none,none,none,none,none,
C 29,Circus,,Shipahu,20.11.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 29,15,5,185.7066,C 30,SE,4; 5,,<300m,True,within shouting distance,unfavourable,5,<15m,central,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,
C 30,Circus,,Paulus,20.11.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 30,86,3,185.7066,C 29,N,3; 4; 5,True,within shouting distance,True,adjacent,unfavourable,3,>15m,marginal,rather nice,none,disintegration of rock,many,many,many,many,none,none,none,none,none,
C 31,Circus,,Paulus,10.11.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 31,3,6,133.8297,C 32,E,1,,<300m,True,adjacent,� vertical rock,2,<3m,marginal,magnificent,none,water run-off,none,none,none,none,none,none,none,none,none,
C 32,Circus,,Shipahu,27.08.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 32,22,4,47.4454,C 33,E,1; 5; 12,True,adjacent,,within shouting distance,unfavourable,10,<15m,central,poor,none,water run-off,few,few,none,none,none,none,none,none,none,
C 33,Circus,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 33,13,5,47.4454,C 32,S,5,,within shouting distance,True,adjacent,unfavourable,2,<3m,central,rather nice,none,water run-off,many,many,many,none,none,many,none,none,none,
C 34,Circus,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 34,13,5,48.3208,N 182,N,5,,<300m,True,adjacent,unfavourable,10,<15m,marginal,rather nice,none,water run-off,medium quantity,medium quantity,medium quantity,none,none,none,none,none,none,
C 35,Circus,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 35,1,6,72.0348,C 33,S,5,,<300m,True,adjacent,spacious,22,<3m,marginal,rather nice,Pager's Camp,water run-off,few,few,few,none,none,none,none,none,none,
C 36,Circus,,Lempp/ Roth,May 54,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 36,87,3,167.7026,C 37,N; E,1; 12,,>300m,True,adjacent,� vertical rock,6,>15m,marginal,poor,Pager's Camp,none,few,few,none,few,none,none,none,none,none,
C 37,Circus,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,C 37,61,3,167.7026,C 36,E; W,2; 5; 12,,>300m,True,adjacent,unfavourable,7,<15m,marginal,rather nice,European; buried cans + bottles in sub-recent; 0 m distance,water run-off,medium quantity,medium quantity,none,medium quantity,none,none,none,none,none,
D 1,Dom,,Jipsen/ Camby?,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,D 1,211,2,47.0579,A 55,W,5; 6; 12,,within shouting distance,,�>300m,unfavourable,7,<15m,marginal,rather nice,none,none,many,many,many,many,none,none,none,none,none,
D 2,Dom,,Camby,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,D 2,18,5,110.3229,A 54,NW,5,,within shouting distance,,�>300m,unfavourable,3,<15m,marginal,rather nice,none,disintegration of rock,medium quantity,medium quantity,none,none,none,none,none,none,none,
D 3,Dom,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,D 3,17,5,251.9799,D 1,W,5,,�>300m,,�>300m,spacious,17,<3m,isolated,rather nice,none,none,medium quantity,medium quantity,medium quantity,medium quantity,few,medium quantity,none,none,none,
D 4,Dom,,Toiwo/ Shipahu,07.11.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,D 4,5,5,138.0421,D 5,W,5,,�>300m,True,adjacent,unfavourable,18,<15m,marginal,rather nice,none,water run-off,many,many,none,none,none,none,none,none,none,
D 5,Dom,,Toiwo/ Shipahu,07.11.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,D 5,3,6,138.0421,D 4,NE,5,,�>300m,True,within shouting distance,unfavourable,8,<1m,marginal,poor,none,water run-off,medium quantity,medium quantity,none,few,none,none,none,none,none,
D 6,Dom,,Toiwo/ Shipahu,07.11.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,D 6,8,5,58.4208,D 7,N,5,,�>300m,True,adjacent,unfavourable,3,<1m,marginal,poor,none,water run-off,few,few,none,none,none,none,none,none,none,
D 7,Dom,,Toiwo/ Shipahu,07.11.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 � Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,D 7,29,4,58.4208,D 6,N,5,,�>300m,True,adjacent,unfavourable,6,<3m,marginal,rather nice,none,water run-off,medium quantity,medium quantity,few,few,none,medium quantity,none,none,none,
E 1,Eros,,Toiwo/ Lameka,21.02.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,E 1,19,4,171.7609,E 23,S,4; 5; 12,,>300m,,>300m,spacious,13,<3m,isolated,magnificent,Pager's Camp,disintegration of rock; water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
E 2,Eros,,Toiwo,23.01.1980,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,E 2,4,6,74256,E 3,S,1,,>300m,,>300m,� vertical rock,0,<15m,marginal,rather nice,none,disintegration of rock; water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
E 3,Eros,,Toiwo,22.01.1980,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,E 3,26,4,34.6098,E 4,SE,1; 3; 4; 5; 12,,>300m,,>300m,unfavourable; � vertical rock,6,<15m,marginal,rather nice,none,disintegration of rock; water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
E 4,Eros,,Toiwo,29.01.1980,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,E 4,87,3,34.6098,E 3,E; S,4; 5; 12,,>300m,,>300m,unfavourable,9,<3m,marginal,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
E 5,Eros,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,E 5,31,4,29.8271,E 6,S,1; 5; 12,,>300m,,>300m,unfavourable,7,<15m,marginal,rather nice,none,disintegration of rock; water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
E 6,Eros,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,E 6,7,5,29.8271,E 5,N,1,,>300m,,>300m,� vertical rock,5,<15m,marginal,rather nice,none,disintegration of rock; water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
E 7,Eros,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,E 7,29,4,37.7415,E 8,S,1; 4; 5,,within shouting distance,,>300m,unfavourable,6,<15m,NA,rather nice,none,disintegration of rock; water run-off,many,NA,NA,NA,NA,NA,NA,NA,NA,
E 8,Eros,,Toiwo,23.01.1980,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,E 8,4,6,37.7415,E 7,S,1,,within shouting distance,,>300m,� vertical rock,0,<15m,marginal,rather nice,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
E 9,Eros,,Toiwo,27.01.1980,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,E 9,4,6,33748,E 10,S,1,,<300m,,>300m,� vertical rock,1,<15m,isolated,poor,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
